,no_coeffs,mse,psnr
0,1,288.41392517089844,23.53064135753657
1,17,31.368236541748047,33.16590256633507
2,33,15.081062316894531,36.34648426355654
3,49,13.798320770263672,36.73254124074105
4,65,15.890846252441406,36.119333350904
5,81,17.790695190429688,35.62887441931341
6,97,18.305866241455078,35.504900761626395
7,113,18.678630828857422,35.41735322232126
8,129,18.683513641357422,35.41621807412939
9,145,18.95571517944336,35.353401863166695
10,161,18.896686553955078,35.366947015353006
11,177,18.948863983154297,35.35497182481297
12,193,19.023292541503906,35.33794674299457
13,209,19.230648040771484,35.29086441382992
14,225,19.281208038330078,35.27946120308106
15,241,19.29904556274414,35.275445294292105
16,257,19.301658630371094,35.274857304577054
17,273,19.52193832397461,35.225574245037436
18,289,19.52448272705078,35.22500824170728
19,305,19.502487182617188,35.22990359720503
20,321,19.532337188720703,35.223261479213605
21,337,19.524280548095703,35.22505321378689
22,353,19.516876220703125,35.22670053104565
23,369,19.53314208984375,35.22308251603551
24,385,19.554767608642578,35.2182770176022
25,401,19.622207641601562,35.203324937755895
26,417,19.761104583740234,35.172691442389905
27,433,19.758018493652344,35.17336973269302
28,449,19.751468658447266,35.17480966903137
29,465,19.745372772216797,35.176150236872914
30,481,19.73944854736328,35.17745345066331
31,497,19.731964111328125,35.17910043975756
32,513,19.723888397216797,35.18087824350629
33,529,19.722389221191406,35.181208355199885
34,545,19.83356475830078,35.156795823296136
35,561,19.85985565185547,35.15104273296185
36,577,19.85991668701172,35.151029385840246
37,593,19.85991668701172,35.151029385840246
38,609,19.85991668701172,35.151029385840246
39,625,19.85991668701172,35.151029385840246
40,641,19.85991668701172,35.151029385840246
41,657,19.85991668701172,35.151029385840246
42,673,19.85991668701172,35.151029385840246
43,689,19.85991668701172,35.151029385840246
44,705,19.85991668701172,35.151029385840246
45,721,19.85991668701172,35.151029385840246
46,737,19.85991668701172,35.151029385840246
47,753,19.85991668701172,35.151029385840246
48,769,19.859256744384766,35.151173703768606
49,785,19.859256744384766,35.151173703768606
50,801,19.859256744384766,35.151173703768606
51,817,19.859256744384766,35.151173703768606
52,833,19.859256744384766,35.151173703768606
53,849,19.859256744384766,35.151173703768606
54,865,19.859256744384766,35.151173703768606
55,881,19.859256744384766,35.151173703768606
56,897,19.859256744384766,35.151173703768606
57,913,19.859256744384766,35.151173703768606
58,929,19.859256744384766,35.151173703768606
59,945,19.859256744384766,35.151173703768606
60,961,19.859256744384766,35.151173703768606
61,977,19.859256744384766,35.151173703768606
62,993,19.859256744384766,35.151173703768606
63,1009,19.859256744384766,35.151173703768606
